family,index,seed,method,degree,global_rmse,local_rmse,p95_abs,condition
edge_rolloff,4,20331517,jittered_grid,5,0.004271758242265808,0.009208297621535882,0.00843099895333056,298.0721070569684
edge_rolloff,4,20331517,jittered_grid,7,0.005523981683725989,0.01225361808226925,0.008513272288467148,4532.839863132818
edge_rolloff,4,20331517,jittered_grid,9,0.0039577688949404876,0.008809396604849671,0.0033618460247390293,91302.06931134315
edge_rolloff,4,20331517,jittered_grid,11,0.0024752560632198307,0.005485029364333154,0.0037803404441604767,212063.01172100691
edge_rolloff,4,20331517,afp_baseline,3,0.0032955415132190223,0.0043394739084800975,0.006731299445225186,17.7722044149529
edge_rolloff,4,20331517,afp_baseline,5,0.0016205137051270829,0.0024095041749619133,0.0032536140241848223,171.70439594236692
edge_rolloff,4,20331517,afp_baseline,7,0.0006322112814428938,0.0011929683483747205,0.001121889131834814,2044.0271419185474
edge_rolloff,4,20331517,afp_baseline,9,0.0005108551411769854,0.0010463757714146691,0.000923415480807131,44885.69181285849
edge_rolloff,4,20331517,afp_baseline,11,0.0006498597424642464,0.0013483080931747705,0.0008925568802594973,182818.43178576799
edge_rolloff,4,20331517,hessian_weighted,3,0.003782917951395798,0.004711766432044612,0.007511563705388056,17.394990253283087
edge_rolloff,4,20331517,hessian_weighted,5,0.0018615892996444773,0.0027019027752501965,0.0039073270302256765,214.85405259534107
edge_rolloff,4,20331517,hessian_weighted,7,0.0006954573410854689,0.0010404193565025706,0.0013014992125883256,2013.078728234525
edge_rolloff,4,20331517,hessian_weighted,9,0.0005493413311742114,0.000942970589978979,0.0011378835200915442,44184.07941879399
edge_rolloff,4,20331517,hessian_weighted,11,0.0008654887233566851,0.0014502607229363894,0.0018554547407466488,77689.40079048756
edge_rolloff,4,20331517,afp_exchange,3,0.003331223001600327,0.004441533466757553,0.006767314300605419,18.19563178498147
edge_rolloff,4,20331517,afp_exchange,5,0.0016760162114044176,0.002451961130354732,0.0031456042513074178,177.15605272237562
edge_rolloff,4,20331517,afp_exchange,7,0.0007860393133148037,0.001090866016816888,0.0017618857496998568,2137.2847806809596
edge_rolloff,4,20331517,afp_exchange,9,0.000584869163721753,0.0011137078394568047,0.0010349062417357737,46303.225222065725
edge_rolloff,4,20331517,afp_exchange,11,0.0007042762873042574,0.0013768921385965617,0.0011740460505971161,148253.50377545008
local_bump,0,20332513,regular_grid,3,0.0017772281877671125,0.0032874179142729477,0.0027026831942620387,24.94365478273628
local_bump,0,20332513,regular_grid,5,0.0017176997734741645,0.002924635345492169,0.003042251109669756,327.43361648915993
local_bump,0,20332513,regular_grid,7,0.008475124636926259,0.01699785343712944,0.017567183766181688,7676.108739186785
local_bump,0,20332513,regular_grid,9,0.016297117857403714,0.033138504117271615,0.023646272948646907,7.740388647875343e+17
local_bump,0,20332513,regular_grid,11,0.03503009843192755,0.06248718611796316,0.0708180377810502,4.049534361189323e+17
local_bump,0,20332513,random_uniform,3,0.0019147187771578384,0.0033911559405316403,0.0036638288360874988,25.22710891684739
local_bump,0,20332513,random_uniform,5,0.007099911015655421,0.012119721183536233,0.00963418755347988,349.79815946759805
local_bump,0,20332513,random_uniform,7,0.007611027072481087,0.01403218609214777,0.009862111160080522,7989.050765306929
local_bump,0,20332513,random_uniform,9,0.22023849796229575,0.4339854780362664,0.2627977640720463,341414.55475022073
local_bump,0,20332513,random_uniform,11,0.2398076953318458,0.4613166457963254,0.3235282480394762,2211091.617964313
local_bump,0,20332513,jittered_grid,3,0.0017965642720937838,0.0031796023829482227,0.0025123726120475157,26.21389921810319
local_bump,0,20332513,jittered_grid,5,0.0018626207745964136,0.002977772930952074,0.003691028562722864,331.7049453141701
local_bump,0,20332513,jittered_grid,7,0.0030674787998734103,0.0057820674242846926,0.0053081888247093105,6041.40953122188
local_bump,0,20332513,jittered_grid,9,0.055467694009304735,0.11688016852613677,0.045211648217013685,160182.7775569291
local_bump,0,20332513,jittered_grid,11,0.1350650266187185,0.28381108017001416,0.22337249806149134,1325207.360654775
local_bump,0,20332513,afp_baseline,3,0.0017667827100761124,0.003238623151528891,0.0024283709404786646,17.51976975737479
local_bump,0,20332513,afp_baseline,5,0.0016121681039800839,0.002676912778037459,0.0031090384600814037,182.23651527560565
local_bump,0,20332513,afp_baseline,7,0.0017862483529080156,0.0031080589518686316,0.003385412231802812,1986.765753440096
