family,index,method,n_points,degree,global_rmse,local_rmse,low_rmse,p95_abs,condition,success
smooth_low_variation,4,afp_poly_residual_phs,64,5,9.269709898327252e-05,0.00018056354709550243,5.079241070780864e-05,0.00020629717326634464,186.919969586886,True
smooth_low_variation,4,hessian_weighted_poly_residual_phs,64,5,8.95460606942964e-05,0.00013952315100935588,7.177427000752077e-05,0.00020953738254766212,198.64080473782764,True
smooth_low_variation,4,afp_exchange_poly_residual_phs,64,5,8.336234227905051e-05,0.00011589424229036443,7.29791611309874e-05,0.00016515935868022816,214.4113458903861,True
edge_rolloff,0,afp_poly_only,64,5,0.0010956512858682204,0.00167879011829122,0.0008917894468415731,0.0021268136972172097,180.0971529580421,True
edge_rolloff,0,afp_poly_residual_phs,64,5,0.0007293425380978233,0.001150647331509359,0.0005775720590777088,0.0015965990944543029,180.0971529580421,True
edge_rolloff,0,hessian_weighted_poly_residual_phs,64,5,0.0007926031317118796,0.00092519301187504,0.0007557656268926024,0.0018144546117828517,214.75002415097268,True
edge_rolloff,0,afp_exchange_poly_residual_phs,64,5,0.0005991003210759034,0.000631001275800634,0.0005908418163161013,0.0013599845961248297,219.07498985755956,True
edge_rolloff,1,afp_poly_only,64,5,0.0015754671826836441,0.0023462880184498373,0.0013134157173493688,0.003174288880604744,179.578195861112,True
edge_rolloff,1,afp_poly_residual_phs,64,5,0.0010604143988154828,0.0016139236144778978,0.0008682037186727888,0.002257896976999103,179.578195861112,True
edge_rolloff,1,hessian_weighted_poly_residual_phs,64,5,0.0011595281716360473,0.0014084159402800935,0.0010883242470738103,0.0023676224329954127,212.25902415909522,True
edge_rolloff,1,afp_exchange_poly_residual_phs,64,5,0.0008733679707357123,0.0010140975181729664,0.0008344174183460715,0.0018563982724066669,209.5033469860554,True
edge_rolloff,2,afp_poly_only,64,5,0.0014187224591516447,0.0019670586506568715,0.0012441231994044619,0.002851516530726897,184.9040907431142,True
edge_rolloff,2,afp_poly_residual_phs,64,5,0.001018776863768477,0.0015251779490019267,0.0008457480484476816,0.002387513844478796,184.9040907431142,True
edge_rolloff,2,hessian_weighted_poly_residual_phs,64,5,0.0009333487100810931,0.001158174157734256,0.0008679756575702303,0.002149359751531046,209.0606951906754,True
edge_rolloff,2,afp_exchange_poly_residual_phs,64,5,0.0008496232533913111,0.0010066301222811354,0.0008055270629007136,0.0018615487225847253,245.3456347592011,True
edge_rolloff,3,afp_poly_only,64,5,0.0016322209566808125,0.002376897524340774,0.0013843748752106742,0.0032768301094214585,179.26669589783137,True
edge_rolloff,3,afp_poly_residual_phs,64,5,0.0011705374168017825,0.0018112607236470022,0.0009443058642142283,0.002499196037726349,179.26669589783137,True
