family,index,layout,degree,global_rmse,local_rmse,p95_abs,condition
local_bump,1,afp,3,0.001637449577298771,0.0031221675974119284,0.002450193254851741,18.2491506467701
local_bump,1,afp,5,0.0014398647853244761,0.0024166862434211165,0.0033541994087569523,191.39969984150247
local_bump,1,afp,7,0.0011227248194165978,0.0018652667660688416,0.0024528564166683814,2496.273302805853
local_bump,1,afp,9,0.002629316046767515,0.0042513972925285635,0.005712425721385379,45001.78792209185
local_bump,1,afp,11,0.010870695107296473,0.016587042588180115,0.02360313414930586,127794.89803415626
local_bump,2,regular,3,0.0021314206670734344,0.003847555027078863,0.004352189360066326,24.94365478273628
local_bump,2,regular,5,0.0017133093593665629,0.0029018915776781802,0.00317975734565964,327.43361648915993
local_bump,2,regular,7,0.003497230099516749,0.006499339260435525,0.007103650565568158,7676.108739186785
local_bump,2,regular,9,0.0034446161867398096,0.006250078168974751,0.0063818262335774666,7.740388647875343e+17
local_bump,2,regular,11,0.030978698506987323,0.04050802373379376,0.07806864350960106,4.049534361189323e+17
local_bump,2,afp,3,0.002110313854428655,0.003738313917524771,0.0040990347045534135,18.18683384554325
local_bump,2,afp,5,0.0017074393875264311,0.0028683926899873502,0.0030926567076079983,192.78681720594216
local_bump,2,afp,7,0.00172992383144764,0.002672993210242623,0.003534716615300442,2602.9682577816598
local_bump,2,afp,9,0.010127555083900586,0.019957177221633888,0.017370968540285123,51127.21515628668
local_bump,2,afp,11,0.08326195116284375,0.165418528013361,0.1295073121120712,264656.35285003704
local_bump,3,regular,3,0.0008631172655840559,0.001746291455995575,0.001382762618871203,24.94365478273628
local_bump,3,regular,5,0.0008078049381338134,0.0016300593914282341,0.0012047175755597,327.43361648915993
local_bump,3,regular,7,0.0011387135035911095,0.002251381414382726,0.0030103346483548454,7676.108739186785
local_bump,3,regular,9,0.001906409247228119,0.0037541084504646655,0.003622983219436837,7.740388647875343e+17
local_bump,3,regular,11,0.002615784660595574,0.004885293145137703,0.0050857991184822295,4.049534361189323e+17
local_bump,3,afp,3,0.0008132464088449578,0.0015211368588657376,0.0010170826538701515,17.972022021510732
local_bump,3,afp,5,0.0007268351358063768,0.001317173760996709,0.0012759791281461389,170.04266429632227
local_bump,3,afp,7,0.0006320275495463045,0.001099159667825779,0.0013777089068875347,2459.0951307683945
local_bump,3,afp,9,0.0016043772747016754,0.002888216080498981,0.002850673772282989,50389.460830654854
local_bump,3,afp,11,0.0018406896854706726,0.0032128138868791857,0.002991832230557285,92254.72994225266
local_bump,4,regular,3,0.002563527817072791,0.004525550689070588,0.004587930164460607,24.94365478273628
local_bump,4,regular,5,0.0025339226671618038,0.0044349065837500125,0.005384701674314196,327.43361648915993
local_bump,4,regular,7,0.010419029728080146,0.021316086464588182,0.019224636071394047,7676.108739186785
local_bump,4,regular,9,0.017335361113897624,0.032529257603429035,0.030859365579993237,7.740388647875343e+17
local_bump,4,regular,11,0.055044658058987735,0.09054165398331823,0.1220267356101542,4.049534361189323e+17
local_bump,4,afp,3,0.002554683964317784,0.004601970844489579,0.004769981175645337,17.742290011919618
local_bump,4,afp,5,0.0022537756110067343,0.004055727616410498,0.0040401102098012445,177.75849270679666
local_bump,4,afp,7,0.0022895100239149484,0.004033361769340395,0.004125804246514465,1901.7489150550168
local_bump,4,afp,9,0.007550252745469994,0.015079480645426597,0.00977034598369198,55097.48003449424
local_bump,4,afp,11,0.04204626758261757,0.08324733794263992,0.054410211314084536,172250.79140436248
mid_frequency,0,regular,3,0.0021959140703131045,0.0029350882001481296,0.00410429313092759,24.94365478273628
mid_frequency,0,regular,5,0.0019176941661799452,0.0022536608768533597,0.0034403955392565944,327.43361648915993
mid_frequency,0,regular,7,0.006323674908074958,0.013095999743016437,0.01133264203743962,7676.108739186785
mid_frequency,0,regular,9,0.005609785130980169,0.009816661753564111,0.012325887481376033,7.740388647875343e+17
