family,index,round,score,global_rmse,local_rmse,low_rmse,p95_abs,condition,success,weighted_coverage,swap_out_hessian,swap_in_hessian,improved
smooth_low_variation,4,11,-0.002766914035788449,8.383176141296635e-05,0.00011429866231194964,7.427029430142418e-05,0.00016615583833692294,213.83247609892408,True,15.31099161239261,0.35113903761936416,0.4371143870422456,True
smooth_low_variation,4,12,-0.00276774080517791,8.336234227905051e-05,0.00011589424229036443,7.29791611309874e-05,0.00016515935868022816,214.4113458903861,True,15.327537478470672,0.35328806942419505,0.7319705976074748,True
edge_rolloff,0,0,-6.945440664532553e-05,0.0007293425380978233,0.001150647331509359,0.0005775720590777088,0.0015965990944543029,180.0971529580421,True,14.637472540177313,,,
edge_rolloff,0,1,-0.00042495579091435384,0.0006510795088071784,0.0010119964394256868,0.0005230579871921331,0.0014238016640078055,182.3103621554562,True,14.741143563295266,0.30526635726400797,0.5587639532177205,True
edge_rolloff,0,2,-0.0005207150555385188,0.0006435150590586309,0.0009625342348404376,0.0005346048011729349,0.0014209517675730198,180.04582570830607,True,14.724592245259794,0.3498426540482495,0.5446605876598456,True
edge_rolloff,0,3,-0.000740915529468224,0.0006164570128817255,0.0008745300624728587,0.0005325962150980676,0.0013823984216872014,183.9141854380488,True,14.876265789623691,0.3652050269363899,1.086366173059854,True
edge_rolloff,0,4,-0.0007924391394954601,0.0006169727581159726,0.0008513674816043522,0.0005426466010408355,0.001414321356550591,188.00744775255194,True,14.92220869289742,0.33164521919728407,0.6392589558095925,True
edge_rolloff,0,5,-0.0008263257955184984,0.0006215129204780792,0.0008386061237253459,0.000553983044240287,0.0014158208912390968,201.78987736614425,True,14.996300224442336,0.3369291904733551,0.8563786997313397,True
edge_rolloff,0,6,-0.0010673713673501383,0.0005723820389571621,0.0007486377078605204,0.0005189530587008755,0.001315848786672206,199.96238986519865,True,15.123665829246315,0.4044748256978237,1.4620509524110452,True
edge_rolloff,0,7,-0.0010673713673501383,0.0005723820389571621,0.0007486377078605204,0.0005189530587008755,0.001315848786672206,199.96238986519865,True,15.123665829246315,,,False
edge_rolloff,0,8,-0.0011755919046517308,0.0005765728591885223,0.0007023250589644377,0.0005405195635817013,0.0012590898430935688,211.08570760159498,True,15.257330614622314,0.4129656513305313,0.8749032353285637,True
edge_rolloff,0,9,-0.001297144848277447,0.0005784346503818224,0.00065447641609837,0.000557770876045016,0.001286769241225101,212.70803174856295,True,15.43180434220627,0.3905212564289527,0.5588497267160417,True
edge_rolloff,0,10,-0.0013014274657542904,0.0005738031279613135,0.0006475238558167365,0.0005538070330102784,0.0012644026516687233,211.18502611613488,True,15.365748634882832,0.45892359896393203,0.5757629078760353,True
edge_rolloff,0,11,-0.0013014274657542904,0.0005738031279613135,0.0006475238558167365,0.0005538070330102784,0.0012644026516687233,211.18502611613488,True,15.365748634882832,,,False
edge_rolloff,0,12,-0.0013219955979763233,0.0005991003210759034,0.000631001275800634,0.0005908418163161013,0.0013599845961248297,219.07498985755956,True,15.442241396416996,0.4272852380743006,1.6200100153063213,True
edge_rolloff,1,0,0.0010856490258539819,0.0010604143988154828,0.0016139236144778978,0.0008682037186727888,0.002257896976999103,179.578195861112,True,14.802620298728057,,,
edge_rolloff,1,1,0.0010148100520256617,0.0010510720830891555,0.001583914705990751,0.0008678384106920277,0.0022355724698301556,182.71051381723913,True,14.832521185731917,0.2736112428865813,0.4975581318606964,True
edge_rolloff,1,2,0.0009399665458968017,0.0010429558762284567,0.0015649916928735207,0.0008641839927818279,0.0020583681963731617,184.19844057654257,True,14.991119810738343,0.3148715605511386,1.2508748261410356,True
edge_rolloff,1,3,0.0007963337696262739,0.000994042435760318,0.0015090057089834187,0.0008156742143634639,0.001927967848539034,183.0379401694135,True,14.946846138766842,0.3511913103960743,0.49508968782442286,True
edge_rolloff,1,4,0.0007839437643337656,0.0009853845376352516,0.001505574986300534,0.000804042889310424,0.0018751997584868666,182.1173509213324,True,14.93377248978737,0.309402374572002,0.5021637943690365,True
edge_rolloff,1,5,0.0005952152314851731,0.0010056217449672465,0.0014067943521977708,0.0008768763997942153,0.0020744345210097865,183.01812162701023,True,15.064880325239749,0.26453284752270717,0.5579074056480744,True
edge_rolloff,1,6,1.9570662768198833e-06,0.000920247644405468,0.001154495108786084,0.0008515556288897598,0.0018552481976192852,186.09550377350695,True,15.270532646914518,0.3589754521183439,1.0928608264847213,True
edge_rolloff,1,7,-6.415625466324156e-05,0.0009082491577402766,0.0011189884845639012,0.0008473069562644813,0.0019577758899849756,190.66530204738237,True,15.212670544233676,0.3638158831816621,0.4789705025559415,True
edge_rolloff,1,8,-0.00016285366414435596,0.0008785552377994484,0.0010809407791231092,0.0008200891543356473,0.0018880365744976368,191.89569556472588,True,15.205746716607779,0.4265244507157168,0.603643334207635,True
edge_rolloff,1,9,-0.00019132885286044562,0.0008689363904400084,0.0010726149538093862,0.0008099494823437604,0.0018547165833208718,196.2843913104091,True,15.223014539239092,0.3524388046594013,0.8626868603301049,True
