family,index,round,score,global_rmse,local_rmse,residual_local_rmse,weighted_coverage,improved
smooth_low_variation,4,5,-0.0020126037438784046,0.00016679379148573946,0.00028809838822551817,0.00028809838822551817,13.92202075318866,True
smooth_low_variation,4,6,-0.0020197763538920112,0.00016845045487691183,0.00028616853081362564,0.00028616853081362564,13.945903617387684,True
smooth_low_variation,4,7,-0.002025872454609395,0.0001658843822491049,0.00028296834008051386,0.00028296834008051386,13.929951755137896,True
smooth_low_variation,4,8,-0.002025872454609395,0.0001658843822491049,0.00028296834008051386,0.00028296834008051386,13.929951755137896,False
smooth_low_variation,4,9,-0.002052660946238031,0.00016034411970019266,0.0002717966537814999,0.0002717966537814999,13.918890194396866,True
smooth_low_variation,4,10,-0.002080246584157858,0.0001576721087221818,0.00025968795347400454,0.00025968795347400454,13.916316975877246,True
smooth_low_variation,4,11,-0.0021068711281966735,0.00015188543304754174,0.00024674597533327035,0.00024674597533327035,13.884615547220413,True
smooth_low_variation,4,12,-0.0023538196960601367,0.00012794455587536463,0.00017081948756268278,0.00017081948756268278,14.202425879085675,True
smooth_low_variation,4,13,-0.002406044768768203,0.0001204551257393104,0.00014491793078555672,0.00014491793078555672,14.154137745785912,True
smooth_low_variation,4,14,-0.0024060858684439245,0.00012207928531440156,0.00014206651337071266,0.00014206651337071263,14.132524159184113,True
edge_rolloff,0,0,0.0013193285453672395,0.0009356885382779924,0.0015122668582565927,0.0015122668582565927,13.960601976247988,
edge_rolloff,0,1,0.0012679671090048295,0.000927316840586452,0.0014981087523025004,0.0014981087523025004,14.02689055708437,True
edge_rolloff,0,2,0.0012258787980474477,0.0009194370861013607,0.0014865040453005728,0.0014865040453005728,14.07608391592558,True
edge_rolloff,0,3,0.0010954138027291014,0.0009015616376435818,0.0014568344595879332,0.0014568344595879332,14.327501000245698,True
edge_rolloff,0,4,0.0010804380063874734,0.0009155539435894646,0.0014474259038105008,0.0014474259038105006,14.373551676020217,True
edge_rolloff,0,5,0.0010771357509085878,0.0009164604027848356,0.0014492435342641694,0.0014492435342641694,14.413680369155015,True
edge_rolloff,0,6,0.0010501461446261596,0.0009052601564917092,0.001440521411773662,0.001440521411773662,14.401044882951199,True
edge_rolloff,0,7,0.001032838266657995,0.0009030465322481724,0.001437900190882305,0.001437900190882305,14.44899333221509,True
edge_rolloff,0,8,0.000824400633582174,0.0008804640923455449,0.0013477005476927942,0.0013477005476927942,14.431173044591194,True
