family,index,method,global_rmse,local_rmse,condition
local_bump,2,jittered_grid_poly_residual_phs,0.0008157716200235988,0.001435788478652819,320.51363041031834
local_bump,2,latin_hypercube_poly_residual_phs,0.0008432941809046272,0.001292217081533768,243.21772229700008
local_bump,2,poisson_disk_poly_residual_phs,0.0006880111862634644,0.0013011026979333183,192.33659146053682
local_bump,2,afp_poly_residual_phs,0.0009082043021030625,0.0016001905335604543,211.45546157766407
local_bump,2,hessian_weighted_poly_residual_phs,0.0006072904976374237,0.0009810156614794875,203.54963299366045
local_bump,2,afp_exchange_poly_residual_phs,0.00031302955053297857,0.0004355222302345,228.90767009305506
local_bump,3,regular_poly_only,0.0007592251007487902,0.0015672244978405386,366.6767281154971
local_bump,3,regular_poly_residual_phs,0.0006049460438690073,0.001281713669268965,366.6767281154971
local_bump,3,random_uniform_poly_residual_phs,0.0007779416485815973,0.0013695360408444517,287.3617687831845
local_bump,3,jittered_grid_poly_residual_phs,0.0004876187721839883,0.0009894855927371606,313.09009587918206
local_bump,3,latin_hypercube_poly_residual_phs,0.0011374155530073005,0.0016748323364967057,214.70293684428225
local_bump,3,poisson_disk_poly_residual_phs,0.0004128014019260909,0.0007834914434078409,193.58990669391653
local_bump,3,afp_poly_residual_phs,0.0003476616914813538,0.0006671614975640289,194.25967840609704
local_bump,3,hessian_weighted_poly_residual_phs,0.0002543222692106598,0.0004308069109243678,253.7718274073474
local_bump,3,afp_exchange_poly_residual_phs,0.00022144392583384146,0.00031064744984401864,338.852228460644
local_bump,4,regular_poly_only,0.002618581807427711,0.0047237953756453155,366.6767281154971
local_bump,4,regular_poly_residual_phs,0.0014088412918885906,0.0025386474320981335,366.6767281154971
local_bump,4,random_uniform_poly_residual_phs,0.001621220714485097,0.0026796250647677456,249.70343582641243
local_bump,4,jittered_grid_poly_residual_phs,0.0014402330485432688,0.0025494187511650316,365.05219345100414
local_bump,4,latin_hypercube_poly_residual_phs,0.0017866822068729627,0.0029473237147340566,236.22070654495897
local_bump,4,poisson_disk_poly_residual_phs,0.0010687891868847907,0.0019115507806382738,179.89846826075373
local_bump,4,afp_poly_residual_phs,0.0009569641084291982,0.001766399410269263,188.31608097068565
local_bump,4,hessian_weighted_poly_residual_phs,0.0011761520341992673,0.0013715933604028733,190.7599888042105
local_bump,4,afp_exchange_poly_residual_phs,0.0007684188167130618,0.00063486239995288,211.63736915123093
mid_frequency_undulation,0,regular_poly_only,0.004015995338514315,0.0057710612480513564,366.6767281154971
mid_frequency_undulation,0,regular_poly_residual_phs,0.0013440896356222696,0.002380730594128738,366.6767281154971
mid_frequency_undulation,0,random_uniform_poly_residual_phs,0.0024018915048330956,0.0018254795224366346,278.5316184977224
mid_frequency_undulation,0,jittered_grid_poly_residual_phs,0.0023184827171538417,0.003966821463776401,381.5947811314873
mid_frequency_undulation,0,latin_hypercube_poly_residual_phs,0.0024852452473134827,0.00501401661351098,252.23443214540654
mid_frequency_undulation,0,poisson_disk_poly_residual_phs,0.0003864968831529509,0.0004814790391045027,195.35670937173032
mid_frequency_undulation,0,afp_poly_residual_phs,0.00038782432019410104,0.0004898159385312735,183.36008936501707
mid_frequency_undulation,0,hessian_weighted_poly_residual_phs,0.0003987155387241528,0.0004168172208745831,218.85444338391312
