family,index,seed,method,n_points,degree,condition,success,global_rmse,local_rmse,low_rmse,p95_abs
local_bump,2,20262515,afp_exchange_poly_residual_phs,64,5,202.14494617086186,True,0.0006124588744870899,0.0012229996423249595,0.0003073611314342856,0.0012633224939307779
local_bump,3,20262516,afp_poly_only,64,5,185.10517442217048,True,0.0007296490277430082,0.0014473741649821206,0.0003756236647952067,0.001362039631761981
local_bump,3,20262516,afp_poly_residual_phs,64,5,185.10517442217048,True,0.0003506869905107737,0.0007259585588451377,0.00014764785151852186,0.0007755794096033822
local_bump,3,20262516,hessian_weighted_poly_residual_phs,64,5,197.428152164998,True,0.00039381963301478204,0.0005694887204700533,0.0003357314823739871,0.0009530776681058291
local_bump,3,20262516,afp_exchange_poly_residual_phs,64,5,195.62870619838915,True,0.00034014758055236547,0.0007059990533979085,0.0001409008750011564,0.0007209941099986983
local_bump,4,20262517,afp_poly_only,64,5,184.83048773535572,True,0.0022670205788151614,0.004131914330145905,0.0014666094706868196,0.004128796299772716
local_bump,4,20262517,afp_poly_residual_phs,64,5,184.83048773535572,True,0.0009521848875311794,0.0018226643839060327,0.000549327124711711,0.001722518600511109
local_bump,4,20262517,hessian_weighted_poly_residual_phs,64,5,208.57434955670593,True,0.0010920163455633838,0.0008916511991170076,0.0011366768256913082,0.0026762733796032783
local_bump,4,20262517,afp_exchange_poly_residual_phs,64,5,211.6329636265811,True,0.0008405704200846046,0.0013109724391100852,0.0006731293295323683,0.0016512279221902282
mid_frequency_undulation,0,20263513,afp_poly_only,64,5,179.10859351655722,True,0.0037916710715064274,0.004609282448556179,0.003557618869858423,0.006808839285342823
mid_frequency_undulation,0,20263513,afp_poly_residual_phs,64,5,179.10859351655722,True,0.00048692925412650265,0.0007413083299536516,0.00039856861431758185,0.001147536023769808
mid_frequency_undulation,0,20263513,hessian_weighted_poly_residual_phs,64,5,206.92147367400852,True,0.00039718697706964416,0.00045320673165934384,0.00038187354101617286,0.0009439048192348863
mid_frequency_undulation,0,20263513,afp_exchange_poly_residual_phs,64,5,186.1880850507352,True,0.00039021377999118285,0.0005095159291577044,0.00035409878297705955,0.0008694699399748559
mid_frequency_undulation,1,20263514,afp_poly_only,64,5,179.10978565066222,True,0.0029982896494562756,0.004639171308554747,0.002418953633647348,0.005549450823045482
mid_frequency_undulation,1,20263514,afp_poly_residual_phs,64,5,179.10978565066222,True,0.0004412763614928404,0.0008806430652232743,0.0002219785811070665,0.0007712530981132721
mid_frequency_undulation,1,20263514,hessian_weighted_poly_residual_phs,64,5,209.56187739334584,True,0.00043647402154625573,0.000491911622852417,0.00042145068921670267,0.0009575109508288606
mid_frequency_undulation,1,20263514,afp_exchange_poly_residual_phs,64,5,208.3191528025623,True,0.00028291669490768584,0.0003755585690020388,0.00025449000274531793,0.0006142778600388686
