family,index,round,swap_out_hessian_weight,swap_in_hessian_weight,delta
local_bump,4,5,0.3454711801742969,0.6744600485999226,0.3289888684256257
local_bump,4,6,0.4554146977121271,0.849989835815061,0.39457513810293393
local_bump,4,7,0.35400981813667526,0.7648458996571708,0.4108360815204955
local_bump,4,8,0.31381478122355566,0.650296476558933,0.3364816953353773
local_bump,4,9,0.41190134539506884,1.070325760259712,0.6584244148646432
local_bump,4,10,0.4919985818025174,0.8261727397767283,0.33417415797421096
local_bump,4,11,0.5143449128250848,0.945886577129939,0.4315416643048542
local_bump,4,12,0.5322822835941847,0.6287151916855921,0.09643290809140737
mid_frequency_undulation,0,1,0.3172484391338743,0.8776017015534109,0.5603532624195366
mid_frequency_undulation,0,2,0.2645000674963391,0.8958923679086769,0.6313923004123378
mid_frequency_undulation,0,3,0.26568530810653884,0.485881920084658,0.22019661197811918
mid_frequency_undulation,0,4,0.28171186336038306,0.4579977719983983,0.17628590863801524
mid_frequency_undulation,0,5,0.31143540384835444,0.5506611284368057,0.23922572458845126
mid_frequency_undulation,0,6,0.37464028465612925,0.4549857902735207,0.08034550561739146
mid_frequency_undulation,0,7,0.31188066709314755,0.4445515973237993,0.13267093023065174
mid_frequency_undulation,0,9,0.369900001763798,0.4404965332959119,0.07059653153211387
mid_frequency_undulation,1,1,0.2994030340492773,0.565867724114528,0.2664646900652507
mid_frequency_undulation,1,2,0.3105986436144905,0.41817281911363385,0.10757417549914333
mid_frequency_undulation,1,3,0.3131615845310771,0.47229549463724485,0.15913391010616773
mid_frequency_undulation,1,4,0.2695686976140679,0.47044949572948125,0.20088079811541337
mid_frequency_undulation,1,5,0.25934637983976117,0.5009074732766623,0.24156109343690113
mid_frequency_undulation,1,8,0.3358285576283165,0.6137046665934989,0.2778761089651824
mid_frequency_undulation,1,9,0.3047880568786425,0.6618816095617255,0.35709355268308296
mid_frequency_undulation,1,11,0.3161952162573901,0.6831677468945447,0.3669725306371546
mid_frequency_undulation,1,12,0.28737792275085683,0.3848254338386876,0.09744751108783078
mid_frequency_undulation,2,1,0.3076531969608754,0.43884262867446555,0.13118943171359015
mid_frequency_undulation,2,2,0.3105606944880572,0.9718644699166078,0.6613037754285507
mid_frequency_undulation,2,3,0.2831590344733812,0.9720933751433866,0.6889343406700054
mid_frequency_undulation,2,4,0.3004721069199596,0.48799664043536334,0.1875245335154037
mid_frequency_undulation,2,5,0.2860360566609764,0.46513762319561147,0.17910156653463505
mid_frequency_undulation,2,9,0.343095121054105,1.5515125518047148,1.2084174307506097
mid_frequency_undulation,2,10,0.38332435438448087,0.4794743695002587,0.09615001511577781
mid_frequency_undulation,2,12,0.33795981937850994,1.5647316580811643,1.2267718387026543
mid_frequency_undulation,3,1,0.3341380747723123,0.5387438642164324,0.2046057894441201
mid_frequency_undulation,3,2,0.3472203823392776,0.48338174950152535,0.13616136716224775
mid_frequency_undulation,3,3,0.3271834904067477,0.4882280439318286,0.1610445535250809
mid_frequency_undulation,3,4,0.3680870059090603,0.5538014856712878,0.18571447976222755
mid_frequency_undulation,3,5,0.3089281690686285,0.4871442037071213,0.17821603463849278
mid_frequency_undulation,3,6,0.2970785924593936,0.4502461832409568,0.15316759078156317
mid_frequency_undulation,3,7,0.3920136617159037,1.119297118236656,0.7272834565207523
mid_frequency_undulation,3,9,0.3482673884875948,0.747497972388215,0.3992305839006202
mid_frequency_undulation,3,11,0.3688651695907162,0.44157097426181025,0.07270580467109405
mid_frequency_undulation,3,12,0.4001716361569685,0.4314868065363435,0.031315170379375035
mid_frequency_undulation,4,1,0.26055816948402244,0.38412895666283514,0.1235707871788127
mid_frequency_undulation,4,2,0.2854943989140836,0.4873770040804136,0.20188260516633
mid_frequency_undulation,4,3,0.27987781255125227,0.3823227981884856,0.10244498563723331
mid_frequency_undulation,4,4,0.286336508487175,0.3937323335844678,0.10739582509729279
mid_frequency_undulation,4,5,0.32739995927085946,0.3815643421532232,0.05416438288236375
mid_frequency_undulation,4,6,0.33205856777167586,0.511440365651189,0.17938179787951314
mid_frequency_undulation,4,7,0.300240361388763,0.3806212665477757,0.08038090515901275
mid_frequency_undulation,4,8,0.32669276091940497,0.6727816611954676,0.3460889002760626
mid_frequency_undulation,4,9,0.33313523171501574,0.5947554542528841,0.2616202225378684
mid_frequency_undulation,4,10,0.3469430789222106,0.6604650491407777,0.31352197021856715
mid_frequency_undulation,4,11,0.35154573622999385,0.45837507101051533,0.10682933478052148
mid_frequency_undulation,4,12,0.3477582771825548,0.4889216226619966,0.14116334547944182
